repo_name,link, status
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional de INFOTEC",https://infotec.repositorioinstitucional.mx/oai/request,
"Repositorio Digital CIDE",https://cide.repositorioinstitucional.mx/oai/request,
"Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia",https://ru.ameyalli.dgdc.unam.mx/oai/request,
"REPOSITORIO INSTITUCIONAL DEL CIESAS",https://ciesas.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional CIATEC",https://ciatec.repositorioinstitucional.mx/oai/request,
"Repositorio IPICYT",https://ipicyt.repositorioinstitucional.mx/oai/request,
"Repositorio COLSAN",https://colsan.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional INECOL",https://inecol.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional CICY",https://cicy.repositorioinstitucional.mx/oai/request,
"Repositorio MORA",https://mora.repositorioinstitucional.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional del Centro de Investigación en Química Aplicada",https://ciqa.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional del INAOE",https://inaoe.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional FLACSO México",https://flacso.repositorioinstitucional.mx/oai/request,
"COMIMSA",https://comimsa.repositorioinstitucional.mx/oai/request,
"Fuente de Objetos Científicos Open Access",https://cimav.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional CICESE",https://cicese.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional CIDESI",https://cidesi.repositorioinstitucional.mx/oai/request,
"REPOSITORIO INSTITUCIONAL CIDETEQ",https://cideteq.repositorioinstitucional.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional de COLMICH",https://colmich.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional de CENTROGEO",https://centrogeo.repositorioinstitucional.mx/oai/request,
"REPOSITORIO INSTITUCIONAL DEL CIO",https://cio.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional CIMAT",https://cimat.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional de ECOSUR",https://ecosur.repositorioinstitucional.mx/oai/request,
"Repositorio institucional del CIAD, A.C.",https://ciad.repositorioinstitucional.mx/oai/request,
"Repositorio Institucional de El Colegio de la Frontera Norte",https://colef.repositorioinstitucional.mx/oai/request,
"CIATEQ Digital",https://ciateq.repositorioinstitucional.mx/oai/request,
"Ameyalli - Repositorio Universitario Especializado en Comunicación Pública de la Ciencia de la DGDC, UNAM",https://ru.ameyalli.dgdc.unam.mx/oai/request,
"Athenea Digital FFyL",https://ru.atheneadigital.filos.unam.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional de la Universidad Autónoma de Ciudad Juárez",http://ri.uacj.mx/vufind/OAI/conacyt,
"Repositorio Institucional de la Universidad Autónoma de Tamaulipas",https://riuat.uat.edu.mx/oai/conacyt,
"Repositorio Institucional Aramara",http://aramara.uan.mx:8080/oai/conacyt,
"Repositorio Institucional Caxcán",http://ricaxcan.uaz.edu.mx/oai/conacyt,
"Repositorio de información académica, científica tecnológica y de innovación RIACTis UANL",http://riacti.uanl.mx/cgi/oai2,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"COLECCIONES DIGITALES COLMEX",https://repositorio.colmex.mx/conacyt/oai/oai2.php,
"Repositorio Institucional Abierto de Conocimiento en Salud Pública",http://repositorio.insp.mx:8080/oai/request,
"Repositorio Institucional de Acceso Abierto de la Universidad Autónoma del Estado de Morelos",http://riaa.uaem.mx:8080/oai/request,
"Repositorio  Institucional de datos científicos geoespaciales del Centro de Ciencias de la Atmósfera de la UNAM",https://ri.atmosfera.unam.mx:8284/acdm/srv/eng/oaipmh,
"Repositorio de datos ecológicos",https://repositorio-socioecologia.conahcyt.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Concentración de Recursos de Información Científica y Académica, UAM Cuajimalpa",http://ilitia.cua.uam.mx:8080/oai/request,
"Repositorio Digital CID-UAAAN",https://repositorio.uaaan.mx/oai/request,
"Memoria Institucional CISAN, Repositorio Institucional, UNAM",http://ru.micisan.unam.mx/oai/request,
"Repositorio Institucional COLSON",https://repositorio.colson.edu.mx/server/oai/request,
"XOGI REPOSITORIO INSTITUCIONAL UAM LERMA",https://xogi.ler.uam.mx:8080/server/oai/request,
"COLPOS DIGITAL",http://colposdigital.colpos.mx:8080/oai/conacyt,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional de la Universidad Juárez Autónoma de Tabasco",https://ri.ujat.mx/server/oai/request,
"Repositorio de datos del Servicio Sismológico Nacional",http://rigeofisica.ssn.unam.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional del Centro de Ciencias de la Atmósfera de la UNAM",https://ri.atmosfera.unam.mx:8284/acdm/srv/eng/oaipmh,
"Repositorio Digital Institucional de la Universidad Autónoma de Yucatán",http://redi.uady.mx/oai/openaire,
"Repositorio Institucional del Instituto de Investigaciones Bibliotecológicas y de la Información de la Universidad Nacional Autónoma de México",https://ru.iibi.unam.mx/oai/request,
"Repositorio Institucional de la Universidad Autónoma Metropolitana Unidad Iztapalapa",http://bindani.izt.uam.mx/catalog/oai,
"Repositorio Institucional del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas",http://www.riimas.unam.mx/oai/request,
"REPOSITORIO INSTITUCIONAL DE CONOCIMIENTO GENÓMICO",http://132.248.34.155:8088/oai/provider,
"Repositorio Institucional del Tecnológico de Monterrey",https://repositorio.tec.mx/server/oai/request,
"Repositorio de Recursos Geotérmicos para México",http://rigeotermia.geofisica.unam.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional NINIVE",https://ninive.uaslp.mx/oai/request,
"Repositorio universitario de prosa científica y de divulgación de la Facultad de Estudios Superiores Iztacala",https://ru.iztacala.unam.mx/oai-pmh-repository/request,
"Repositorio Institucional RUTIC",https://repositorio.tic.unam.mx/oai/request,
"Repositorio Institucional SISBIUQROO",https://risisbi.uqroo.mx/server/oai/request,
"Repositorio Institucional UnADM",http://www.repositorio.unadmexico.mx:8080/oai/request,
"Repositorio Institucional de Acceso Abierto RIAA-BUAP",https://repositorioinstitucional.buap.mx/oai/conacyt,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"Repositorio Institucional Universidad Iberoamericana Ciudad de México",https://ri.ibero.mx/oai/request,
"Repositorio Institucional de Ciencia Abierta de la Universidad Autónoma de Guerrero",http://ri.uagro.mx/oai/conacyt,
"Repositorio Institucional de Literatura del IPN-CIIDIR Unidad Oaxaca",http://literatura.ciidiroaxaca.ipn.mx/oai/request,
"Repositorio Institucional de Colecciones Científicas del IPN-CIIDIR Unidad Oaxaca",http://colecciones.ciidiroaxaca.ipn.mx/oai/request,
"Repositorio Institucional Zaloamati",https://zaloamati.azc.uam.mx/server/oai/request,
"Repositorio Institucional UTM",http://repositorio.utm.mx/oai/conacyt,
"Repositorio Institucional Históricas-UNAM",https://ru.historicas.unam.mx/oai/conacyt,
"Repositorio Institucional de la Facultad de Medicina,UNAM.Departamento de Microbiologia y Parasitologia",http://ru.facmed.unam.mx/oai/openaire,
"Repositorio Nacional",https://conahcyt.repositorioinstitucional.mx/oai/request,
"Aggregator of Repositorio Nacional",https://oai-pmh.repositorionacionalcti.mx/resource/oai-pmh,
"REPOSITORIO INSTITUCIONAL DEL TECNOLÓGICO NACIONAL DE MÉXICO",https://rinacional.tecnm.mx/oai/conacyt,
"RI-UPPue: repositorio institucional de la Universidad Politécnica de Puebla",http://repositorio.uppuebla.edu.mx:8080/oai/request,
"Repositorio de la Facultad de Ciencias UNAM",http://uniciencias.fciencias.unam.mx/oai/request,
"Repositorio Institucional UNICACH",https://repositorio.unicach.mx/oai/conacyt,
"Cenotes de Yucatan",https://cenoteando.org/oai/request,
"Repositorio de Literatura del Servicio Sismológico Nacional",http://rigeofisica.ssn.unam.mx/oai/literatura,
"XPLORA",http://rixplora.upn.mx/oai/request,